Sr No,Date,Hijri Date,Description,Type,Time to,Time From,Duration in hours,Total Hours,Remarks
91,07-08-25,13-Safar-1447,Sigat al Qaza _wirasat,Jameiyah ulya wa Takhassus,2:00 pm,3:30 pm,1:30:00,"Main screen, Airmedia, Podium, HH1, HH2, HH3, HW1, HW2",
92,09-08-25,15-Safar-1447,Educational Counselling Barnamaj,Imtehanaat Ukhra,12:05 pm,1:25 pm,1:20:00,"Main screen, Airmedia, Podium, HH1, HH2, HH3, HH4, HW1",
93,09-08-25,15-Safar-1447,Kunuz al Iqtebasaat Quiz,Talebaat,1:45 pm,4:40 pm,2:55:00,"Main screen, Airmedia, Podium, HH1, HH2, HH3, HH4, SM58x 3, HW1",
94,09-08-25,15-Safar-1447,MMB talebaat TGM,TGM,4:30 pm,6:30 pm,2:00:00,Main Screen,
95,16-08-25,22-Safar-1447,Silicon to Product - journey of an Atom,Nashat Saqafi,12:00 pm,1:30 pm,1:30:00,"Main screen, HW1, HW2, Airmedia",
96,18-08-25,24-Safar-1447,Elaam Department Podcast,Nashat Saqafi,4:00 pm,5:30 pm,1:30:00,"Main screen, LP1, LP2, Airmedia",
97,21-08-25,27-Safar-1447,Muzakera - Imam Hasan AS Khutba,Jameiyah ulya wa Takhassus,2:00 pm,3:30 pm,1:30:00,"Main screen, HW1, Airmedia, Podium",
98,23-08-25,29-Safar-1447,PRO Visit,Visit,5:30 pm,8:30 pm,3:00:00,Main screen,
99,25-08-25,02-Rabi al awwal-1447,ITNC,Nashat Saqafi,4:00 pm,5:00 pm,1:00:00,"Main screen, LP1, LP2, Airmedia",
100,25-08-25,02-Rabi al awwal-1447,Janah 2 hours practice session was held in audi,Janah al tarrannum,5:00 pm,7:00 pm,2:00:00,"Main screen, 4x sm58, Web presenter",
101,30-08-25,07-Rabi al awwal-1447,Lawyer-Women rights,Nashat Saqafi,12:00 pm,1:45 pm,1:45:00,"Main Screen, HH1, HH2, HH3, HH4, ",
102,01-09-25,09-Rabi al awwal-1447,Kunuz Rehearsal,Rehearsal,11:00 am,1:30 pm,2:30:00,"Main Screen, HH1",
103,01-09-25,09-Rabi al awwal-1447,Kunuz Rehearsal,Rehearsal,6:00 pm,7:30 pm,1:30:00,"Main Screen, HH1, HH2, HH3, HH4",
104,02-09-25,10-Rabi al awwal-1447,Kunuz ul iqtibasaat il nayyera,Talebaat,10:00 am,2:00 pm,4:00:00,"Main Screen, HH1, HH2, HH3, HH4, HW1",
105,06-09-25,14-Rabi al awwal-1447,Iftitah al dawat Muzakera - افتتاح الدعوة,Jameiyah Ula,12:00 pm,1:30 pm,1:30:00,"Main Screen, HH1, HH2, HH3, HH4, HW1, HW2, HW3",
106,09-09-25,17-Rabi al awwal-1447,TGM PTM Khamesa,TGM,1:00 pm,3:00 pm,2:00:00,"Main Screen, Podium",
107,10-09-25,18-Rabi al awwal-1447,Band Rehearsal,Rehearsal,4:00 pm,6:10 pm,2:10:00,"Main Screen, HH1, HH2, HH3, ",
108,11-09-25,19-Rabi al awwal-1447,TGM ,TGM,12:30 pm,2:00 pm,1:30:00,Main Screen,
109,11-09-25,19-Rabi al awwal-1447,Raudat-al-Quran-al-Kareem,Rental,3:00 pm,7:30 pm,4:30:00,"Main Screen, HH1, HH2, HH3, HH4, HW1, HW2, HW3",
110,12-09-25,20-Rabi al awwal-1447,Raudat-al-Quran-al-Kareem,Rental,3:00 pm,10:30 pm,7:30:00,,
111,16-09-25,24-Rabi al awwal-1447,Janah ul tarranum Talebaat Rehearsal,Rehearsal,4:00 pm,7:30 pm,3:30:00,,
112,17-09-25,25-Rabi al awwal-1447,Janah ul tarranum Talebaat Annual program,Janah al tarrannum,12:00 pm,9:40 pm,9:40:00,,
113,20-09-25,28-Rabi al awwal-1447,AI & EI Counselling - Marol Jamat,Rental,7:00 pm,10:15 pm,3:15:00,,
114,14-10-25,22-Rabi al akhar-1447,Nadwat - AJ Shz Jaffer us Sadiq bs Imaduddin Saheb,Nadwat,9:00 am,11:00 am,2:00:00,,
115,14-10-25,22-Rabi al akhar-1447,Janah ul tarranum Talabat Rehearsal,Rehearsal,2:30 pm,8:00 pm,5:30:00,,
116,15-10-25,23-Rabi al akhar-1447,"Janah ul tarranum, program tayyari - tazyeen, setup etc",Rehearsal,9:00 am,1:00 pm,4:00:00,,
116,15-10-25,23-Rabi al akhar-1447,Janah ul tarranum Talabat Recording,Rehearsal,3:00 pm,8:30 pm,5:30:00,,
117,16-10-25,24-Rabi al akhar-1447,Janah ul tarranum Talabat ,Rehearsal,3:00 pm,6:00 pm,3:00:00,,
118,16-10-25,24-Rabi al akhar-1447,Janah ul tarranum Talabat,Janah al tarrannum,6:00 pm,9:00 pm,3:00:00,,
119,27-10-25,04-Jumada al-Ula-1447,D7-Nujoom Barnamaj,Jameiyah Ula,11:30 am,1:30 pm,2:00:00,,
120,,,,,,,,,
121,,,,,,,,,
122,,,,,,,,,
123,,,,,,,,,
